year,title,authors,summary,category,reconstruction_error
1991,recurrent networks and narma modeling,j connor et al,there exist large classes of time series such as those with nonlinear moving average components that are not well modeled by feedforward networks or linear models but can be modeled by recurrent networks we show that recurrent neural networks are a type of nonlinear autoregressive moving average narma model practical ability will be shown in the results of a competition sponsored by the puget sound power and light company where the recurrent networks gave the best performance on electric load forecasting,dl_rnn,0.025663294372013173
1996,constructing deterministic finite state automata in recurrent neural networks,omlin c w giles c l,recurrent neural networks that are trained to behave like deterministic finite state automata dfas can show deteriorating performance when tested on long strings this deteriorating performance can be attributed to the instability of the internal representation of the learned dfa states the use of a sigmoidel discriminant function together with the recurrent structure contribute to this instability we prove that a simple algorithm can construct second order recurrent neural networks with a sparse interconnection topology and sigmoidal discriminant function such that the internal dfa state representations are stable that is the constructed network correctly classifies strings of arbitrary length the algorithm is based on encoding strengths of weights directly into the neural network we derive a relationship between the weight strength and the number of dfa states for robust string classification for a dfa with n state and minput alphabet symbols the constructive algorithm generates a programmed neural network with o n neurons and o mn weights we compare our algorithm to other methods proposed in the literature,dl_rnn,0.02700859744189636
2023,3d gaussian splatting for real time radiance field rendering,bernhard kerbl et al,radiance field methods have recently revolutionized novel view synthesis of scenes captured with multiple photos or videos however achieving high visual quality still requires neural networks that are costly to train and render while recent faster methods inevitably trade off speed for quality for unbounded and complete scenes rather than isolated objects and 1080p resolution rendering no current method can achieve real time display rates we introduce three key elements that allow us to achieve state of the art visual quality while maintaining competitive training times and importantly allow high quality real time 30 fps novel view synthesis at 1080p resolution first starting from sparse points produced during camera calibration we represent the scene with 3d gaussians that preserve desirable properties of continuous volumetric radiance fields for scene optimization while avoiding unnecessary computation in empty space second we perform interleaved optimization density control of the 3d gaussians notably optimizing anisotropic covariance to achieve an accurate representation of the scene third we develop a fast visibility aware rendering algorithm that supports anisotropic splatting and both accelerates training and allows realtime rendering we demonstrate state of the art visual quality and real time rendering on several established datasets,cv_pattern,0.027626282981604838
2014,decaf a deep convolutional activation feature for generic visual recognition,j donahue et al,we evaluate whether features extracted from the activation of a deep convolutional network trained in a fully supervised fashion on a large fixed set of object recognition tasks can be re purposed to novel generic tasks our generic tasks may differ significantly from the originally trained tasks and there may be insufficient labeled or unlabeled data to conventionally train or adapt a deep architecture to the new tasks we investigate and visualize the semantic clustering of deep convolutional features with respect to a variety of such tasks including scene recognition domain adaptation and fine grained recognition challenges we compare the efficacy of relying on various network levels to define a fixed feature and report novel results that significantly outperform the state of the art on several important vision challenges we are releasing decaf an open source implementation of these deep convolutional activation features along with all associated network parameters to enable vision researchers to be able to conduct experimentation with deep representations across a range of visual concept learning paradigms,cv_pattern,0.025513316788065416
2013,distributed representations of words and phrases and their compositionality,tomas mikolov et al,the recently introduced continuous skip gram model is an efficient method for learning high quality distributed vector representations that capture a large number of precise syntactic and semantic word relationships in this paper we present several extensions that improve both the quality of the vectors and the training speed by subsampling of the frequent words we obtain significant speedup and also learn more regular word representations we also describe a simple alternative to the hierarchical softmax called negative sampling an inherent limitation of word representations is their indifference to word order and their inability to represent idiomatic phrases for example the meanings of canada and air cannot be easily combined to obtain air canada motivated by this example we present a simple method for finding phrases in text and show that learning good vector representations for millions of phrases is possible,dl_nlp,0.02607025099974522
2015,deep unsupervised learning using nonequilibrium thermodynamics,jascha sohl dickstein et al,a central problem in machine learning involves modeling complex data sets using highly flexible families of probability distributions in which learning sampling inference and evaluation are still analytically or computationally tractable here we develop an approach that simultaneously achieves both flexibility and tractability the essential idea inspired by non equilibrium statistical physics is to systematically and slowly destroy structure in a data distribution through an iterative forward diffusion process we then learn a reverse diffusion process that restores structure in data yielding a highly flexible and tractable generative model of the data this approach allows us to rapidly learn sample from and evaluate probabilities in deep generative models with thousands of layers or time steps as well as to compute conditional and posterior probabilities under the learned model we additionally release an open source reference implementation of the algorithm,ml_general,0.0282939301456057
2015,vqa visual question answering,s antol et al,we propose the task of free form and open ended visual question answering vqa given an image and a natural language question about the image the task is to provide an accurate natural language answer mirroring real world scenarios such as helping the visually impaired both the questions and answers are open ended visual questions selectively target different areas of an image including background details and underlying context as a result a system that succeeds at vqa typically needs a more detailed understanding of the image and complex reasoning than a system producing generic image captions moreover vqa is amenable to automatic evaluation since many open ended answers contain only a few words or a closed set of answers that can be provided in a multiple choice format we provide a dataset containing 0 25m images 0 76m questions and 10m answers and discuss the information it provides numerous baselines and methods for vqa are provided and compared with human performance our vqa demo is available on cloudcv,cv_generative,0.025538626280106603
2017,simplified minimal gated unit variations for recurrent neural networks,heck j salem f m,recurrent neural networks with various types of hidden units have been used to solve a diverse range of problems involving sequence data two of the most recent proposals gated recurrent units gru and minimal gated units mgu have shown comparable promising results on example public datasets in this paper we introduce three model variants of the minimal gated unit mgu which further simplify that design by reducing the number of parameters in the forget gate dynamic equation these three model variants referred to simply as mgu1 mgu2 and mgu3 were tested on sequences generated from the mnist dataset and from the reuters newswire topics rnt dataset the new models have shown similar accuracy to the mgu model while using fewer parameters and thus lowering training expense one model variant namely mgu2 performed better than mgu on the datasets considered and thus may be used as an alternate to mgu or gru in recurrent neural networks,dl_rnn,0.027006971344462588
2020,implicit neural representations with periodic activation functions,vincent sitzmann et al,implicitly defined continuous differentiable signal representations parameterized by neural networks have emerged as a powerful paradigm offering many possible benefits over conventional representations however current network architectures for such implicit neural representations are incapable of modeling signals with fine detail and fail to represent a signal s spatial and temporal derivatives despite the fact that these are essential to many physical signals defined implicitly as the solution to partial differential equations we propose to leverage periodic activation functions for implicit neural representations and demonstrate that these networks dubbed sinusoidal representation networks or sirens are ideally suited for representing complex natural signals and their derivatives we analyze siren activation statistics to propose a principled initialization scheme and demonstrate the representation of images wavefields video sound and their derivatives further we show how sirens can be leveraged to solve challenging boundary value problems such as particular eikonal equations yielding signed distance functions the poisson equation and the helmholtz and wave equations lastly we combine sirens with hypernetworks to learn priors over the space of siren functions,ml_general,0.03085064657185953
2020,fourier features let networks learn high frequency functions in low dimensional domains,matthew tancik et al,we show that passing input points through a simple fourier feature mapping enables a multilayer perceptron mlp to learn high frequency functions in low dimensional problem domains these results shed light on recent advances in computer vision and graphics that achieve state of the art results by using mlps to represent complex 3d objects and scenes using tools from the neural tangent kernel ntk literature we show that a standard mlp fails to learn high frequencies both in theory and in practice to overcome this spectral bias we use a fourier feature mapping to transform the effective ntk into a stationary kernel with a tunable bandwidth we suggest an approach for selecting problem specific fourier features that greatly improves the performance of mlps for low dimensional regression tasks relevant to the computer vision and graphics communities,ml_general,0.026566608285768706
2021,learning in high dimension always amounts to extrapolation,randall balestriero et al,the notion of interpolation and extrapolation is fundamental in various fields from deep learning to function approximation interpolation occurs for a sample x whenever this sample falls inside or on the boundary of the given dataset s convex hull extrapolation occurs when x falls outside of that convex hull one fundamental mis conception is that state of the art algorithms work so well because of their ability to correctly interpolate training data a second mis conception is that interpolation happens throughout tasks and datasets in fact many intuitions and theories rely on that assumption we empirically and theoretically argue against those two points and demonstrate that on any high dimensional 100 dataset interpolation almost surely never happens those results challenge the validity of our current interpolation extrapolation definition as an indicator of generalization performances,ml_general,0.03394608009063524
2022,learning robust perceptive locomotion for quadrupedal robots in the wild,joonho lee et al,legged robots that can operate autonomously in remote and hazardous environments will greatly increase opportunities for exploration into under explored areas exteroceptive perception is crucial for fast and energy efficient locomotion perceiving the terrain before making contact with it enables planning and adaptation of the gait ahead of time to maintain speed and stability however utilizing exteroceptive perception robustly for locomotion has remained a grand challenge in robotics snow vegetation and water visually appear as obstacles on which the robot cannot step or are missing altogether due to high reflectance additionally depth perception can degrade due to difficult lighting dust fog reflective or transparent surfaces sensor occlusion and more for this reason the most robust and general solutions to legged locomotion to date rely solely on proprioception this severely limits locomotion speed because the robot has to physically feel out the terrain before adapting its gait accordingly here we present a robust and general solution to integrating exteroceptive and proprioceptive perception for legged locomotion we leverage an attention based recurrent encoder that integrates proprioceptive and exteroceptive input the encoder is trained end to end and learns to seamlessly combine the different perception modalities without resorting to heuristics the result is a legged locomotion controller with high robustness and speed the controller was tested in a variety of challenging natural and urban environments over multiple seasons and completed an hour long hike in the alps in the time recommended for human hikers,dl_rl,0.03666944547107864
2022,bc z zero shot task generalization with robotic imitation learning,eric jang et al,in this paper we study the problem of enabling a vision based robotic manipulation system to generalize to novel tasks a long standing challenge in robot learning we approach the challenge from an imitation learning perspective aiming to study how scaling and broadening the data collected can facilitate such generalization to that end we develop an interactive and flexible imitation learning system that can learn from both demonstrations and interventions and can be conditioned on different forms of information that convey the task including pre trained embeddings of natural language or videos of humans performing the task when scaling data collection on a real robot to more than 100 distinct tasks we find that this system can perform 24 unseen manipulation tasks with an average success rate of 44 without any robot demonstrations for those tasks,dl_rl,0.026803165422577945
2022,solving quantitative reasoning problems with language models,lewkowycz et al,language models have achieved remarkable performance on a wide range of tasks that require natural language understanding nevertheless state of the art models have generally struggled with tasks that require quantitative reasoning such as solving mathematics science and engineering problems at the college level to help close this gap we introduce minerva a large language model pretrained on general natural language data and further trained on technical content the model achieves state of the art performance on technical benchmarks without the use of external tools we also evaluate our model on over two hundred undergraduate level problems in physics biology chemistry economics and other sciences that require quantitative reasoning and find that the model can correctly answer nearly a third of them,dl_nlp,0.02658787267251679
2023,stabilizing transformer training by preventing attention entropy collapse,shuangfei zhai et al,training stability is of great importance to transformers in this work we investigate the training dynamics of transformers by examining the evolution of the attention layers in particular we track the attention entropy for each attention head during the course of training which is a proxy for model sharpness we identify a common pattern across different architectures and tasks where low attention entropy is accompanied by high training instability which can take the form of oscillating loss or divergence we denote the pathologically low attention entropy corresponding to highly concentrated attention scores as TEXTIT entropy collapse TEXTIT as a remedy we propose sigma reparam a simple and efficient solution where we reparametrize all linear layers with spectral normalization and an additional learned scalar we demonstrate that sigma reparam successfully prevents entropy collapse in the attention layers promoting more stable training additionally we prove a tight lower bound of the attention entropy which decreases exponentially fast with the spectral norm of the attention logits providing additional motivation for our approach we conduct experiments with sigma reparam on image classification image self supervised learning machine translation speech recognition and language modeling tasks we show that sigma reparam provides stability and robustness with respect to the choice of hyperparameters going so far as enabling training a a vision transformer to competitive performance without warmup weight decay layer normalization or adaptive optimizers b deep architectures in machine translation and c speech recognition to competitive performance without warmup and adaptive optimizers code is available at url,dl_nlp,0.03117310344110596
2023,neuralangelo high fidelity neural surface reconstruction,zhaoshuo li et al,neural surface reconstruction has been shown to be powerful for recovering dense 3d surfaces via image based neural rendering however current methods struggle to recover detailed structures of real world scenes to address the issue we present neuralangelo which combines the representation power of multi resolution 3d hash grids with neural surface rendering two key ingredients enable our approach 1 numerical gradients for computing higher order derivatives as a smoothing operation and 2 coarse to fine optimization on the hash grids controlling different levels of details even without auxiliary inputs such as depth neuralangelo can effectively recover dense 3d surface structures from multi view images with fidelity significantly surpassing previous methods enabling detailed large scale scene reconstruction from rgb video captures,cv_pattern,0.028400438363000814
1991,multivariate adaptive regression splines,jerome h friedman,a new method is presented for flexible regression modeling of high dimensional data the model takes the form of an expansion in product spline basis functions where the number of basis functions as well as the parameters associated with each one product degree and knot locations are automatically determined by the data this procedure is motivated by the recursive partitioning approach to regression and shares its attractive properties unlike recursive partitioning however this method produces continuous models with continuous derivatives it has more power and flexibility to model relationships that are nearly additive or involve interactions in at most a few variables in addition the model can be represented in a form that separately identifies the additive contributions and those associated with the different multivariable interactions,ml_general,0.025907789626823968
1996,regression shrinkage and selection via the lasso,robert tibshirani,we propose a new method for estimation in linear models the lasso minimizes the residual sum of squares subject to the sum of the absolute value of the coefficients being less than a constant because of the nature of this constraint it tends to produce some coefficients that are exactly 0 and hence gives interpretable models our simulation studies suggest that the lasso enjoys some of the favourable properties of both subset selection and ridge regression it produces interpretable models like subset selection and exhibits the stability of ridge regression there is also an interesting relationship with recent work in adaptive function estimation by donoho and johnstone the lasso idea is quite general and can be applied in a variety of statistical models extensions to generalized regression models and tree based models are briefly described,ml_general,0.034245425857784006
1997,bias plus variance decomposition for zero one loss functions,ron kohavi and david h wolpert,we present a bias variance decomposition of expected misclassification rate the most commonly used loss function in supervised classification learning the bias variance decomposition for quadratic loss functions is well known and serves as an important tool for analyzing learning algorithms yet no decomposition was offered for the more commonly used zero one misclassification loss functions until the recent work of kong dietterich 1995 and breiman 1996 their decomposition suffers from some major shortcomings though eg potentially negative variance which our decomposition avoids we show that in practice the naive frequency based estimation of the decomposition terms is by itself biased and show how to correct for this bias we illustrate the decomposition on various algorithms and datasets from the uci repository,ml_general,0.02801000678101212
1958,the perceptron a probabilistic model for information storage and organization in the brain,rosenblatt f,to answer the questions of how information about the physical world is sensed in what form is information remembered and how does information retained in memory influence recognition and behavior a theory is developed for a hypothetical nervous system called a perceptron the theory serves as a bridge between biophysics and psychology it is possible to predict learning curves from neurological variables and vice versa the quantitative statistical approach is fruitful in the understanding of the organization of cognitive systems,ml_general,0.02659083680108058
2011,deep sparse rectifier neural networks,xavier glorot et al,while logistic sigmoid neurons are more biologically plausible than hyperbolic tangent neurons the latter work better for training multi layer neural networks this pa per shows that rectifying neurons are an even better model of biological neurons and yield equal or better performance than hyperbolic tangent networks in spite of the hard non linearity and non differentiable at zero creating sparse representations with true zeros which seem remarkably suitable for naturally sparse data even though they can take advantage of semi supervised setups with extra unlabeled data deep rectifier net works can reach their best performance with out requiring any unsupervised pre training on purely supervised tasks with large labeled datasets hence these results can be seen as a new milestone in the attempts at under standing the difficulty in training deep but purely supervised neural networks and closing the performance gap between neural net works learnt with and without unsupervised pre training,ml_general,0.02665857619320237
1991,nonlinear principal component analysis using autoassociative neural networks,mark a kramer,nonlinear principal component analysis is a novel technique for multivariate data analysis similar to the well known method of principal component analysis nlpca like pca is used to identify and remove correlations among problem variables as an aid to dimensionality reduction visualization and exploratory data analysis while pca identifies only linear correlations between variables nlpca uncovers both linear and nonlinear correlations without restriction on the character of the nonlinearities present in the data nlpca operates by training a feedforward neural network to perform the identity mapping where the network inputs are reproduced at the output layer the network contains an internal bottleneck layer containing fewer nodes than input or output layers which forces the network to develop a compact representation of the input data and two additional hidden layers the nlpca method is demonstrated using time dependent simulated batch reaction data results show that nlpca successfully reduces dimensionality and produces a feature space map resembling the actual distribution of the underlying system parameters,ml_general,0.03501328460446993
